constraint_id,disease,nutrient,lower_bound,upper_bound,unit,condition,constraint_type,priority,guideline_id,source,note
C_HTN_NA_001,HTN,sodium_mg,,2300,mg/day,adult hypertension general sodium target,soft,disease-therapeutic,G_HTN_001,ACC/AHA 2017 Hypertension Guidelines / AHA sodium guidance,General sodium ceiling used for HTN verification; AHA guidance supports no more than 2300 mg/day and an ideal lower target for many adults.
C_HTN_NA_002,HTN,sodium_mg,,1500,mg/day,confirmed hypertension or high cardiovascular risk,hard,disease-therapeutic,G_HTN_001,ACC/AHA 2017 Hypertension Guidelines / AHA sodium guidance,Optimal or ideal sodium target for elevated BP or hypertension; treated as a prototype rejection threshold for high-risk HTN scenarios.
C_HTN_K_001,HTN,potassium_mg,3500,5000,mg/day,adult hypertension patient without potassium restriction,soft,disease-therapeutic,G_HTN_001,ACC/AHA 2017 Hypertension Guidelines,ACC/AHA 2017 supports dietary potassium 3500-5000 mg/day unless contraindicated by CKD or drugs reducing potassium excretion.
C_CKD_NA_001,CKD,sodium_mg,,2000,mg/day,all CKD stages,hard,disease-therapeutic,G_CKD_001,KDIGO 2024 CKD Guidelines,KDIGO 2024 suggests sodium intake <2 g/day in people with CKD; exceptions such as sodium-wasting nephropathy require clinical individualization.
C_CKD_K_001,CKD,potassium_mg,,2000,mg/day,CKD on dialysis or with hyperkalemia risk (serum K >5.0 mEq/L),hard,safety-critical,G_CKD_001,KDIGO 2024 CKD Guidelines / KDOQI 2020 Nutrition Guidelines,Operational potassium cap for prototype verification in CKD with hyperkalemia risk; KDIGO/KDOQI emphasize individualized potassium management rather than a universal fixed limit.
C_CKD_P_001,CKD,phosphorus_mg,,800,mg/day,CKD on dialysis or with hyperphosphatemia,hard,safety-critical,G_CKD_002,KDOQI 2020 Nutrition Guidelines,Operational strict phosphorus threshold for dialysis or hyperphosphatemia-risk scenarios; KDOQI emphasizes individualized phosphorus management and phosphorus source bioavailability.
C_CKD_P_002,CKD,phosphorus_mg,,1000,mg/day,elevated_serum_phosphorus,soft,disease-therapeutic,G_CKD_002,KDOQI 2020 Nutrition Guidelines,Traditional soft phosphorus target used for prototype verification when elevated serum phosphorus is specified; KDOQI notes exact phosphorus intake ranges are not firmly established and should be individualized.
C_T2DM_NA_001,T2DM,sodium_mg,,2300,mg/day,adult type 2 diabetes general sodium target,soft,disease-therapeutic,G_T2DM_001,ADA Standards of Care in Diabetes 2024,ADA 2024 recommends counseling people with diabetes to limit sodium consumption to <2300 mg/day.
C_T2DM_FIB_001,T2DM,fiber_g,28,,g/day,adult type 2 diabetes nutrition therapy target,soft,disease-therapeutic,G_T2DM_001,ADA Standards of Care in Diabetes 2024,ADA 2024 encourages high-fiber carbohydrate sources at least 14 g fiber per 1000 kcal; 28 g/day is an operational 2000 kcal reference target.
C_T2DM_CARB_001,T2DM,carbohydrate_g,130,,g/day,adult type 2 diabetes general carbohydrate adequacy floor,soft,general-DRI,G_T2DM_001,National Academies Dietary Reference Intakes / ADA Standards of Care in Diabetes 2024,130 g/day is a DRI carbohydrate RDA based on brain glucose utilization; ADA 2024 emphasizes individualized carbohydrate management rather than a fixed upper limit.
C_T2DM_SUGAR_001,T2DM,added_sugar_g,,50,g/day,adult type 2 diabetes added sugar target based on 2000 kcal reference diet,soft,disease-therapeutic,G_T2DM_001,ADA Standards of Care in Diabetes 2024 / FDA added sugars reference,ADA 2024 recommends minimizing added sugars; 50 g/day is the FDA/Dietary Guidelines 10% of calories threshold for a 2000 kcal reference diet.
